thickness(m),SLME(%)
1e-08,0.010735685196764015
1.3257113655901082e-08,0.013999773366684308
1.757510624854793e-08,0.018166471911033474
2.329951810515372e-08,0.02342670721873904
3.0888435964774783e-08,0.029975995712422585
4.0949150623804276e-08,0.03799249663511585
5.4286754393238595e-08,0.0476064017876619
7.196856730011513e-08,0.05886493287422003
9.540954763499944e-08,0.07170282629406644
1.2648552168552957e-07,0.08593312258523571
1.67683293681101e-07,0.10127366867842566
2.2229964825261955e-07,0.11741646645299947
2.94705170255181e-07,0.1341242196635088
3.906939937054621e-07,0.15130182919792787
5.179474679231213e-07,0.16897254077911278
6.866488450042998e-07,0.1871446018313349
9.102981779915227e-07,0.2056573771930272
1.2067926406393288e-06,0.22411024404131635
1.5998587196060574e-06,0.2418838639214426
2.1209508879201924e-06,0.25821317276629685
2.811768697974231e-06,0.27230380842174345
3.727593720314938e-06,0.2835030732982175
4.941713361323839e-06,0.2915011845842759
6.5512855685955095e-06,0.2964753514938818
8.68511373751352e-06,0.299063982226684
1.1513953993264481e-05,0.3001348171188664
1.5264179671752335e-05,0.3004642093436448
2.0235896477251556e-05,0.3005333011414168
2.6826957952797274e-05,0.30054213384368267
3.5564803062231284e-05,0.3005427287127791
4.71486636345739e-05,0.3005427461576357
6.250551925273976e-05,0.3005427463307112
8.286427728546843e-05,0.3005427463311255
0.00010985411419875573,0.3005427463311256
0.00014563484775012445,0.3005427463311256
0.00019306977288832496,0.3005427463311256
0.00025595479226995333,0.3005427463311256
0.000339322177189533,0.3005427463311256
0.0004498432668969444,0.3005427463311256
0.0005963623316594637,0.3005427463311256
0.0007906043210907702,0.3005427463311256
0.0010481131341546852,0.3005427463311256
0.001389495494373136,0.3005427463311256
0.0018420699693267163,0.3005427463311256
0.0024420530945486497,0.3005427463311256
0.00323745754281764,0.3005427463311256
0.004291934260128779,0.3005427463311256
0.005689866029018293,0.3005427463311256
0.0075431200633546075,0.3005427463311256
0.01,0.3005427463311256
