# energy(eV) alpha
3.241800000000000015e+00 5.938994308297089447e+04
3.263300000000000090e+00 5.949798516423504771e+04
3.284699999999999953e+00 6.016862769556193234e+04
3.306200000000000028e+00 6.150768903732302715e+04
3.327700000000000102e+00 6.357312841316559206e+04
3.349099999999999966e+00 6.637995141950664402e+04
3.370600000000000041e+00 6.988039688936994935e+04
3.392100000000000115e+00 7.397929147637302231e+04
3.413499999999999979e+00 7.853169798053729755e+04
3.435000000000000053e+00 8.336742488823406165e+04
3.456500000000000128e+00 8.828768173797085183e+04
3.478000000000000203e+00 9.311424356436084781e+04
3.499400000000000066e+00 9.770058199935592711e+04
3.520900000000000141e+00 1.019577463961989270e+05
3.542400000000000215e+00 1.058533048764939158e+05
3.563800000000000079e+00 1.094203389966570103e+05
3.585300000000000153e+00 1.127420639098719694e+05
3.606799999999999784e+00 1.159311824413897266e+05
3.628200000000000092e+00 1.190942805595401878e+05
3.649700000000000166e+00 1.223301790164581616e+05
3.671199999999999797e+00 1.256862134856814082e+05
3.692600000000000104e+00 1.291679273913418874e+05
3.714100000000000179e+00 1.327479142340032558e+05
3.735599999999999810e+00 1.363594820780511654e+05
3.757000000000000117e+00 1.399193623284607893e+05
3.778500000000000192e+00 1.433677896828001831e+05
3.799999999999999822e+00 1.466443137807817839e+05
3.821499999999999897e+00 1.497360330884506402e+05
3.842900000000000205e+00 1.526535937682237418e+05
3.864399999999999835e+00 1.554565329856185708e+05
3.885899999999999910e+00 1.582300928909441282e+05
3.907300000000000217e+00 1.610680800437871658e+05
3.928799999999999848e+00 1.640945089099046309e+05
3.950299999999999923e+00 1.674262191723115975e+05
3.971699999999999786e+00 1.711277516019827162e+05
3.993199999999999861e+00 1.752312682500549417e+05
4.014700000000000379e+00 1.796885718838618195e+05
4.036100000000000243e+00 1.843716343595696671e+05
4.057599999999999874e+00 1.891073821230428293e+05
4.079100000000000392e+00 1.936745583102318924e+05
4.100500000000000256e+00 1.978704352675491537e+05
4.121999999999999886e+00 2.015234672103575140e+05
4.143500000000000405e+00 2.045240203454504954e+05
4.165000000000000036e+00 2.068363469296015392e+05
4.186399999999999899e+00 2.084718779953605263e+05
4.207900000000000418e+00 2.095097360888057156e+05
4.229400000000000048e+00 2.100592270508759830e+05
4.250799999999999912e+00 2.102470363892340974e+05
4.272300000000000431e+00 2.102141209118745755e+05
4.293800000000000061e+00 2.101125787269957364e+05
4.315199999999999925e+00 2.100698270381776674e+05
4.336700000000000443e+00 2.102237101180092432e+05
4.358200000000000074e+00 2.106448257926465303e+05
4.379599999999999937e+00 2.113815438203483354e+05
4.401099999999999568e+00 2.124214508154119831e+05
4.422600000000000087e+00 2.137109156899454538e+05
4.443999999999999950e+00 2.151551204546140216e+05
4.465499999999999581e+00 2.166731925043076917e+05
4.487000000000000099e+00 2.181814276223355264e+05
4.508499999999999730e+00 2.196467446492115560e+05
4.529899999999999594e+00 2.210592323296682443e+05
4.551400000000000112e+00 2.224667892507362412e+05
4.572899999999999743e+00 2.239011881472948880e+05
4.594299999999999606e+00 2.253945160962565278e+05
4.615800000000000125e+00 2.269888669122302963e+05
4.637299999999999756e+00 2.286864285017813090e+05
4.658699999999999619e+00 2.304910178939385805e+05
4.680200000000000138e+00 2.324056389219957346e+05
4.701699999999999768e+00 2.344422119930415938e+05
4.723099999999999632e+00 2.366190788153665198e+05
4.744600000000000151e+00 2.389748347510204185e+05
4.766099999999999781e+00 2.415460151992407918e+05
4.787600000000000300e+00 2.443787730909194797e+05
4.809000000000000163e+00 2.474916151592063252e+05
4.830499999999999794e+00 2.508791001781180094e+05
4.852000000000000313e+00 2.545305273202407698e+05
4.873400000000000176e+00 2.583897235589441843e+05
4.894899999999999807e+00 2.624111370174084441e+05
4.916400000000000325e+00 2.665477121368399821e+05
4.937800000000000189e+00 2.707114974968232564e+05
4.959299999999999820e+00 2.748517674222719506e+05
4.980800000000000338e+00 2.788733006448087981e+05
5.002200000000000202e+00 2.826897835241265711e+05
5.023699999999999832e+00 2.862411161152311834e+05
5.045200000000000351e+00 2.894735065229108441e+05
5.066600000000000215e+00 2.923887768171316129e+05
5.088099999999999845e+00 2.950744194893295062e+05
5.109600000000000364e+00 2.976369256179871154e+05
5.131099999999999994e+00 3.001979622125750757e+05
5.152499999999999858e+00 3.028603578997694422e+05
5.174000000000000377e+00 3.056914810323567945e+05
5.195500000000000007e+00 3.086696711165224551e+05
5.216899999999999871e+00 3.117390300665250397e+05
5.238400000000000389e+00 3.148302899081334472e+05
5.259900000000000020e+00 3.178480600514268153e+05
5.281299999999999883e+00 3.207145091673679999e+05
5.302800000000000402e+00 3.233704096827913891e+05
5.324300000000000033e+00 3.257385847709057853e+05
5.345699999999999896e+00 3.277505258802731987e+05
5.367200000000000415e+00 3.293458310963116237e+05
5.388700000000000045e+00 3.304526911559263826e+05
5.410099999999999909e+00 3.310071926851214957e+05
5.431600000000000428e+00 3.309851305483807810e+05
5.453100000000000058e+00 3.303860062718566624e+05
5.474599999999999689e+00 3.292037360147361760e+05
5.496000000000000441e+00 3.274250185701542068e+05
5.517500000000000071e+00 3.250657283504546504e+05
5.538999999999999702e+00 3.221555323563036509e+05
5.560399999999999565e+00 3.187597538930100854e+05
5.581900000000000084e+00 3.149819106539282366e+05
5.603399999999999714e+00 3.110043276555897901e+05
5.624799999999999578e+00 3.070182390076532029e+05
5.646300000000000097e+00 3.032634919967525639e+05
5.667799999999999727e+00 2.999365695058323327e+05
