# energy(eV) alpha
1.385999999999999899e+00 2.289780967185095960e+03
1.407000000000000028e+00 2.429402471866648284e+03
1.427999999999999936e+00 2.581845478432351229e+03
1.449000000000000066e+00 2.755046777029448549e+03
1.469999999999999973e+00 2.949746217058373077e+03
1.491000000000000103e+00 3.170440188047770334e+03
1.512000000000000011e+00 3.421879353292366432e+03
1.532999999999999918e+00 3.709183662324074248e+03
1.554100000000000037e+00 4.037799636374260899e+03
1.575099999999999945e+00 4.404376711540652650e+03
1.596100000000000074e+00 4.804823215561409597e+03
1.617099999999999982e+00 5.233222734922014752e+03
1.638099999999999890e+00 5.673375603162290645e+03
1.659100000000000019e+00 6.108009278989059567e+03
1.680099999999999927e+00 6.516297538132486807e+03
1.701100000000000056e+00 6.884995196675692569e+03
1.722099999999999964e+00 7.200161916366499099e+03
1.743100000000000094e+00 7.469692243924481772e+03
1.764100000000000001e+00 7.702156871331887487e+03
1.785099999999999909e+00 7.923369445839493892e+03
1.806100000000000039e+00 8.161988026263109532e+03
1.827099999999999946e+00 8.459153316647245447e+03
1.848100000000000076e+00 8.840135383429840658e+03
1.869099999999999984e+00 9.340882348485343755e+03
1.890099999999999891e+00 9.978914526835264041e+03
1.911100000000000021e+00 1.076774842017495575e+04
1.932099999999999929e+00 1.171471313927676783e+04
1.953100000000000058e+00 1.280606962026487417e+04
1.974099999999999966e+00 1.402614886234431651e+04
1.995100000000000096e+00 1.534165021850169433e+04
2.016099999999999781e+00 1.672487341239180023e+04
2.037100000000000133e+00 1.813392235183921002e+04
2.058100000000000041e+00 1.953330647670359394e+04
2.079099999999999948e+00 2.088431621509998877e+04
2.100099999999999856e+00 2.214872635171798174e+04
2.121100000000000207e+00 2.329199370341978283e+04
2.142100000000000115e+00 2.427533445280446904e+04
2.163100000000000023e+00 2.507581515152159773e+04
2.184099999999999930e+00 2.568847467775790210e+04
2.205099999999999838e+00 2.613300960392194975e+04
2.226100000000000190e+00 2.646516018745817928e+04
2.247100000000000097e+00 2.676744221047767860e+04
2.268100000000000005e+00 2.715248953492498913e+04
2.289099999999999913e+00 2.773391511654060378e+04
2.310099999999999820e+00 2.861428033289051382e+04
2.331100000000000172e+00 2.988921196544437771e+04
2.352100000000000080e+00 3.161941037369781770e+04
2.373099999999999987e+00 3.383718629931593750e+04
2.394099999999999895e+00 3.653885727468241384e+04
2.415099999999999802e+00 3.969841068470300524e+04
2.436100000000000154e+00 4.325634403698566894e+04
2.457100000000000062e+00 4.712277025953270640e+04
2.478099999999999969e+00 5.118870342239579622e+04
2.499099999999999877e+00 5.532581881730377063e+04
2.520099999999999785e+00 5.940242082890297024e+04
2.541100000000000136e+00 6.328965844680526061e+04
2.562100000000000044e+00 6.687561676174051536e+04
2.583099999999999952e+00 7.008608127393299947e+04
2.604099999999999859e+00 7.287736645762842090e+04
2.625100000000000211e+00 7.526605716150270018e+04
2.646100000000000119e+00 7.731813730648175988e+04
2.667100000000000026e+00 7.914702055072487565e+04
2.688099999999999934e+00 8.089536788391209848e+04
2.709099999999999842e+00 8.272617790434269409e+04
2.730100000000000193e+00 8.479016967030266824e+04
2.751100000000000101e+00 8.720611576657382830e+04
2.772100000000000009e+00 9.005703185346152168e+04
2.793099999999999916e+00 9.338250568149266473e+04
2.814099999999999824e+00 9.717437538619489351e+04
2.835100000000000176e+00 1.013888981022047083e+05
2.856100000000000083e+00 1.059537014143581764e+05
2.877099999999999991e+00 1.107715559264840122e+05
2.898099999999999898e+00 1.157502916943904274e+05
2.919099999999999806e+00 1.208045635689027986e+05
2.940100000000000158e+00 1.258732651680612908e+05
2.961100000000000065e+00 1.309277996164885844e+05
2.982099999999999973e+00 1.359608000980582729e+05
3.003099999999999881e+00 1.409818465364733711e+05
3.024099999999999788e+00 1.459995423574762826e+05
3.045100000000000140e+00 1.510125196406064206e+05
3.066100000000000048e+00 1.560057387471362890e+05
3.087099999999999955e+00 1.609490536054764234e+05
3.108099999999999863e+00 1.657986821607361780e+05
3.129100000000000215e+00 1.704993328625592694e+05
3.150100000000000122e+00 1.749841018431754492e+05
3.171100000000000030e+00 1.791973936134363757e+05
3.192099999999999937e+00 1.830928731188279635e+05
3.213099999999999845e+00 1.866406566593279131e+05
3.234100000000000197e+00 1.898640298625029391e+05
3.255100000000000104e+00 1.928049962948010070e+05
3.276100000000000012e+00 1.955639437758628046e+05
3.297099999999999920e+00 1.982603471496476559e+05
3.318099999999999827e+00 2.010224234262115788e+05
3.339100000000000179e+00 2.039477138127431972e+05
3.360100000000000087e+00 2.071296538485267665e+05
3.381099999999999994e+00 2.106120108545013936e+05
3.402099999999999902e+00 2.144147099683928245e+05
3.423099999999999810e+00 2.185409528005247703e+05
3.444100000000000161e+00 2.229733910371405073e+05
3.465100000000000069e+00 2.277043140773035993e+05
3.486099999999999977e+00 2.327169410924795084e+05
3.507099999999999884e+00 2.379798705511637090e+05
3.528099999999999792e+00 2.434646821783842752e+05
3.549100000000000144e+00 2.491223139004777186e+05
3.570100000000000051e+00 2.549053074788116792e+05
3.591099999999999959e+00 2.607691582413477590e+05
3.612099999999999866e+00 2.666800539399422705e+05
3.633100000000000218e+00 2.726241332604845520e+05
3.654100000000000126e+00 2.785942385306133074e+05
3.675100000000000033e+00 2.845962984369081096e+05
3.696099999999999941e+00 2.906343196961571812e+05
3.717099999999999849e+00 2.966903336880313582e+05
3.738100000000000200e+00 3.027261534788802965e+05
3.759100000000000108e+00 3.086786736149229109e+05
3.780100000000000016e+00 3.144695897328563151e+05
3.801099999999999923e+00 3.200177458231958444e+05
3.822099999999999831e+00 3.252450335667504114e+05
3.843100000000000183e+00 3.301135860581406741e+05
3.864100000000000090e+00 3.346190692959849839e+05
3.885099999999999998e+00 3.387779983703385806e+05
3.906099999999999905e+00 3.426446997665510280e+05
3.927099999999999813e+00 3.462969491968639195e+05
3.948100000000000165e+00 3.498214036906212568e+05
3.969100000000000072e+00 3.533113337660618126e+05
3.990099999999999980e+00 3.568729231288097799e+05
4.011099999999999888e+00 3.606081448583778110e+05
4.032099999999999795e+00 3.646119954844443710e+05
4.053099999999999703e+00 3.689729201834885753e+05
4.074099999999999611e+00 3.737640974997261073e+05
4.095100000000000406e+00 3.790450470410509151e+05
4.116100000000000314e+00 3.848507223907494918e+05
4.137100000000000222e+00 3.911798459671465680e+05
4.158100000000000129e+00 3.980280850083211553e+05
4.179100000000000037e+00 4.053348597037897562e+05
4.200099999999999945e+00 4.130157000615554862e+05
4.221099999999999852e+00 4.209436483132369467e+05
4.242099999999999760e+00 4.289898362385321525e+05
4.263099999999999667e+00 4.369950162952295505e+05
4.284099999999999575e+00 4.447900059824245982e+05
4.305100000000000371e+00 4.522409553865014459e+05
4.326100000000000279e+00 4.592234847578076296e+05
4.347100000000000186e+00 4.656362573847574531e+05
4.368100000000000094e+00 4.714316137225008570e+05
4.389100000000000001e+00 4.765923773986372980e+05
4.410099999999999909e+00 4.811329589006843162e+05
4.431099999999999817e+00 4.851019540655945893e+05
4.452099999999999724e+00 4.885717696183685330e+05
4.473099999999999632e+00 4.916291426235022955e+05
4.494100000000000428e+00 4.943809045533706085e+05
4.515100000000000335e+00 4.969143524053241126e+05
4.536100000000000243e+00 4.993055661212137784e+05
4.557100000000000151e+00 5.016425692290590960e+05
4.578100000000000058e+00 5.039744025951492949e+05
4.599099999999999966e+00 5.063265631968464586e+05
4.620099999999999874e+00 5.087236855807380634e+05
4.641200000000000436e+00 5.111729910749237170e+05
4.662200000000000344e+00 5.136314705215592985e+05
4.683200000000000252e+00 5.161097220263432246e+05
4.704200000000000159e+00 5.185761880296163145e+05
4.725200000000000067e+00 5.210094795448410441e+05
4.746199999999999974e+00 5.234056917711760034e+05
4.767199999999999882e+00 5.257576092252839589e+05
4.788199999999999790e+00 5.280654567916697124e+05
4.809199999999999697e+00 5.303346781215379015e+05
4.830199999999999605e+00 5.325868411969720619e+05
4.851200000000000401e+00 5.348240163007575320e+05
4.872200000000000308e+00 5.370439936776781688e+05
4.893200000000000216e+00 5.392493773690782255e+05
4.914200000000000124e+00 5.414154736360876122e+05
4.935200000000000031e+00 5.435250942363721551e+05
4.956199999999999939e+00 5.455593433463771362e+05
4.977199999999999847e+00 5.475067075715062674e+05
4.998199999999999754e+00 5.493435259460887173e+05
5.019199999999999662e+00 5.510568781152525917e+05
5.040199999999999569e+00 5.526468828861365328e+05
5.061200000000000365e+00 5.540963173416052014e+05
5.082200000000000273e+00 5.553879933243207633e+05
5.103200000000000180e+00 5.564940341822542250e+05
5.124200000000000088e+00 5.573753171921992907e+05
5.145199999999999996e+00 5.580167169030747609e+05
5.166199999999999903e+00 5.583804183393996209e+05
5.187199999999999811e+00 5.584907115107827121e+05
5.208199999999999719e+00 5.583675964458929375e+05
5.229199999999999626e+00 5.580757492512423778e+05
5.250200000000000422e+00 5.576757946423848625e+05
5.271200000000000330e+00 5.572535347831103718e+05
5.292200000000000237e+00 5.568956152333385544e+05
5.313200000000000145e+00 5.566578999888233375e+05
5.334200000000000053e+00 5.565709674347350374e+05
5.355199999999999960e+00 5.566359771860159235e+05
5.376199999999999868e+00 5.568203492812188342e+05
5.397199999999999775e+00 5.570683174971736735e+05
5.418199999999999683e+00 5.573235842607362429e+05
5.439199999999999591e+00 5.575038102727787336e+05
5.460200000000000387e+00 5.575432307103892090e+05
5.481200000000000294e+00 5.573951880994486855e+05
5.502200000000000202e+00 5.570115684568560682e+05
5.523200000000000109e+00 5.563545225893202005e+05
5.544200000000000017e+00 5.554229323500852333e+05
5.565199999999999925e+00 5.542228211887470679e+05
5.586199999999999832e+00 5.527755275660636835e+05
5.607199999999999740e+00 5.511121834642150206e+05
5.628199999999999648e+00 5.492922597109101480e+05
