thickness(m),SLME(%)
1e-08,0.028299128702380525
1.3257113655901082e-08,0.03626672250020754
1.757510624854793e-08,0.04605556713327694
2.329951810515372e-08,0.057851904330432836
3.0888435964774783e-08,0.07175423795823876
4.0949150623804276e-08,0.08773997985065254
5.4286754393238595e-08,0.10565162964929777
7.196856730011513e-08,0.12521020248841855
9.540954763499944e-08,0.14604889219939318
1.2648552168552957e-07,0.16774718059529323
1.67683293681101e-07,0.18984740421716279
2.2229964825261955e-07,0.21184841058918696
2.94705170255181e-07,0.23318139030028137
3.906939937054621e-07,0.2531886375909173
5.179474679231213e-07,0.2711558223021406
6.866488450042998e-07,0.2864384996891933
9.102981779915227e-07,0.2986247497236157
1.2067926406393288e-06,0.3076137030036097
1.5998587196060574e-06,0.3135991501345781
2.1209508879201924e-06,0.3170507049046613
2.811768697974231e-06,0.3186773483415006
3.727593720314938e-06,0.31926026892907644
4.941713361323839e-06,0.319405731910365
6.5512855685955095e-06,0.3194283870272068
8.68511373751352e-06,0.3194303039807797
1.1513953993264481e-05,0.31943037772611227
1.5264179671752335e-05,0.31943037874863206
2.0235896477251556e-05,0.3194303787523903
2.6826957952797274e-05,0.3194303787523928
3.5564803062231284e-05,0.3194303787523928
4.71486636345739e-05,0.3194303787523928
6.250551925273976e-05,0.3194303787523928
8.286427728546843e-05,0.3194303787523928
0.00010985411419875573,0.3194303787523928
0.00014563484775012445,0.3194303787523928
0.00019306977288832496,0.3194303787523928
0.00025595479226995333,0.3194303787523928
0.000339322177189533,0.3194303787523928
0.0004498432668969444,0.3194303787523928
0.0005963623316594637,0.3194303787523928
0.0007906043210907702,0.3194303787523928
0.0010481131341546852,0.3194303787523928
0.001389495494373136,0.3194303787523928
0.0018420699693267163,0.3194303787523928
0.0024420530945486497,0.3194303787523928
0.00323745754281764,0.3194303787523928
0.004291934260128779,0.3194303787523928
0.005689866029018293,0.3194303787523928
0.0075431200633546075,0.3194303787523928
0.01,0.3194303787523928
