# energy(eV) alpha
1.875699999999999923e+00 2.156685269887811592e+04
1.897000000000000020e+00 2.345219847672021206e+04
1.918299999999999894e+00 2.564229556012796820e+04
1.939699999999999980e+00 2.809230886566254776e+04
1.961000000000000076e+00 3.071101638224569615e+04
1.982299999999999951e+00 3.337129726930591278e+04
2.003600000000000048e+00 3.592971160501712438e+04
2.024900000000000144e+00 3.824110131950458890e+04
2.046199999999999797e+00 4.017639226009143749e+04
2.067499999999999893e+00 4.165171744509993732e+04
2.088900000000000201e+00 4.264456670371324435e+04
2.110199999999999854e+00 4.319547730152294389e+04
2.131499999999999950e+00 4.341284581615374191e+04
2.152800000000000047e+00 4.344438272086444340e+04
2.174100000000000144e+00 4.344726131033603451e+04
2.195399999999999796e+00 4.355419336871067208e+04
2.216699999999999893e+00 4.384987682257888810e+04
2.238100000000000200e+00 4.435783426244053408e+04
2.259399999999999853e+00 4.503707118597890803e+04
2.280699999999999950e+00 4.583202070871607430e+04
2.302000000000000046e+00 4.666656781286117621e+04
2.323300000000000143e+00 4.748316934678701364e+04
2.344599999999999795e+00 4.827286900055601291e+04
2.366000000000000103e+00 4.907484319858050003e+04
2.387300000000000200e+00 4.997586089759878814e+04
2.408599999999999852e+00 5.113393285708814074e+04
2.429899999999999949e+00 5.272036995193837356e+04
2.451200000000000045e+00 5.492169515916027740e+04
2.472500000000000142e+00 5.789256921361224522e+04
2.493799999999999795e+00 6.172627885091778444e+04
2.515200000000000102e+00 6.644180421358287276e+04
2.536500000000000199e+00 7.194115339695230068e+04
2.557799999999999851e+00 7.804093844842085673e+04
2.579099999999999948e+00 8.445842946188322094e+04
2.600400000000000045e+00 9.084667516109179996e+04
2.621700000000000141e+00 9.683364433349498722e+04
2.642999999999999794e+00 1.020727996112084220e+05
2.664400000000000102e+00 1.062910673125660833e+05
2.685700000000000198e+00 1.093238008691478317e+05
2.706999999999999851e+00 1.111597263269777613e+05
2.728299999999999947e+00 1.119166425628426514e+05
2.749600000000000044e+00 1.118303647251355578e+05
2.770900000000000141e+00 1.111973585246729344e+05
2.792199999999999793e+00 1.103359768574109185e+05
2.813600000000000101e+00 1.095230275771790184e+05
2.834900000000000198e+00 1.089897708626666572e+05
2.856199999999999850e+00 1.088854302653259365e+05
2.877499999999999947e+00 1.092997744808395073e+05
2.898800000000000043e+00 1.102777181687132688e+05
2.920100000000000140e+00 1.118129715418438864e+05
2.941500000000000004e+00 1.139165121248610085e+05
2.962800000000000100e+00 1.166057612724748760e+05
2.984100000000000197e+00 1.199392363669155893e+05
3.005399999999999849e+00 1.239896102908261819e+05
3.026699999999999946e+00 1.288505382001117250e+05
3.048000000000000043e+00 1.345826050215492724e+05
3.069300000000000139e+00 1.412125120498127653e+05
3.090700000000000003e+00 1.487219082430964336e+05
3.112000000000000099e+00 1.570140173378222098e+05
3.133300000000000196e+00 1.659550509319550183e+05
3.154599999999999849e+00 1.753685446659663285e+05
3.175899999999999945e+00 1.850302425267292710e+05
3.197200000000000042e+00 1.946880774595287803e+05
3.218500000000000139e+00 2.040880180389513262e+05
3.239900000000000002e+00 2.129727480445322581e+05
3.261200000000000099e+00 2.211105273800081341e+05
3.282500000000000195e+00 2.283383008472520451e+05
3.303799999999999848e+00 2.345607101571999665e+05
3.325099999999999945e+00 2.397466843379258644e+05
3.346400000000000041e+00 2.439197424037687015e+05
3.367799999999999905e+00 2.471614133217262570e+05
3.389100000000000001e+00 2.495508213493885996e+05
3.410400000000000098e+00 2.512288888259443047e+05
3.431700000000000195e+00 2.523437558864133898e+05
3.452999999999999847e+00 2.530653193512049329e+05
3.474299999999999944e+00 2.535964735397085606e+05
3.495600000000000041e+00 2.541403983739521354e+05
3.516999999999999904e+00 2.548962445520075562e+05
3.538300000000000001e+00 2.560017480821330100e+05
3.559600000000000097e+00 2.575719479157183378e+05
3.580900000000000194e+00 2.596308332898794615e+05
3.602199999999999847e+00 2.621657675182956737e+05
3.623499999999999943e+00 2.650881103152122814e+05
3.644800000000000040e+00 2.683148615025302861e+05
3.666199999999999903e+00 2.717551604778585024e+05
3.687500000000000000e+00 2.753066574695915333e+05
3.708800000000000097e+00 2.789288609648165875e+05
3.730100000000000193e+00 2.825974852746881661e+05
3.751399999999999846e+00 2.863085134417779627e+05
3.772699999999999942e+00 2.900561797598101548e+05
3.794000000000000039e+00 2.938018082987183006e+05
3.815399999999999903e+00 2.974543552239087876e+05
3.836699999999999999e+00 3.008300925953202532e+05
3.858000000000000096e+00 3.037053848473745747e+05
3.879300000000000193e+00 3.058550230275869253e+05
3.900599999999999845e+00 3.071037563892606995e+05
3.921899999999999942e+00 3.074091880941831041e+05
3.943299999999999805e+00 3.069006931936751935e+05
3.964599999999999902e+00 3.058792174344441155e+05
3.985899999999999999e+00 3.048328650955080520e+05
4.007200000000000095e+00 3.043243003852902912e+05
4.028500000000000192e+00 3.049076469223164604e+05
4.049800000000000288e+00 3.070170600439787959e+05
4.071100000000000385e+00 3.108546548367076903e+05
4.092500000000000249e+00 3.163904511280403240e+05
4.113800000000000345e+00 3.232847719232931850e+05
4.135100000000000442e+00 3.310499470364391454e+05
4.156399999999999650e+00 3.390812163862131420e+05
4.177699999999999747e+00 3.467862699870115612e+05
4.198999999999999844e+00 3.536756171897286549e+05
4.220299999999999940e+00 3.594604069152089651e+05
4.241699999999999804e+00 3.640610592693731305e+05
4.262999999999999901e+00 3.675934572240919806e+05
4.284299999999999997e+00 3.703244432055990328e+05
4.305600000000000094e+00 3.725599928873243625e+05
4.326900000000000190e+00 3.745420375733732362e+05
4.348200000000000287e+00 3.763823606987530366e+05
4.369600000000000151e+00 3.780606547720723902e+05
4.390900000000000247e+00 3.794260100462822593e+05
4.412200000000000344e+00 3.803546178878553328e+05
4.433500000000000441e+00 3.807400504421729711e+05
4.454799999999999649e+00 3.805971825198559673e+05
4.476099999999999746e+00 3.800250624221621547e+05
4.497399999999999842e+00 3.791963860762002878e+05
4.518799999999999706e+00 3.783085698345639394e+05
4.540099999999999802e+00 3.775044789614486508e+05
4.561399999999999899e+00 3.769030321462423890e+05
4.582699999999999996e+00 3.765844472982981242e+05
4.604000000000000092e+00 3.765741228152376134e+05
4.625300000000000189e+00 3.768972022817757097e+05
4.646600000000000286e+00 3.775637824291634024e+05
4.668000000000000149e+00 3.786342588724620291e+05
4.689300000000000246e+00 3.801343222320675850e+05
4.710600000000000342e+00 3.821774180158055387e+05
4.731900000000000439e+00 3.848518292438006611e+05
4.753199999999999648e+00 3.882748214077019948e+05
4.774499999999999744e+00 3.925285218919589533e+05
4.795799999999999841e+00 3.976371781415726873e+05
4.817199999999999704e+00 4.035561068750261329e+05
4.838499999999999801e+00 4.101137479714791407e+05
4.859799999999999898e+00 4.170397916019604891e+05
4.881099999999999994e+00 4.239994742435275111e+05
4.902400000000000091e+00 4.306256568635857548e+05
4.923700000000000188e+00 4.365457732643091585e+05
4.945100000000000051e+00 4.414471817388909403e+05
4.966400000000000148e+00 4.451025614581422997e+05
4.987700000000000244e+00 4.473740779173878836e+05
5.009000000000000341e+00 4.482475277141702827e+05
5.030300000000000438e+00 4.477981326975414413e+05
5.051599999999999646e+00 4.461232993835053057e+05
5.072899999999999743e+00 4.433953368517847266e+05
5.094299999999999606e+00 4.397810846396104898e+05
5.115599999999999703e+00 4.354008071687736083e+05
5.136899999999999800e+00 4.303840458046908607e+05
5.158199999999999896e+00 4.248001987528072204e+05
5.179499999999999993e+00 4.187389908999816398e+05
5.200800000000000090e+00 4.122976879110053997e+05
5.222100000000000186e+00 4.056140108132485184e+05
5.243500000000000050e+00 3.988885406970332842e+05
5.264800000000000146e+00 3.923548433781705680e+05
5.286100000000000243e+00 3.862667743238865514e+05
5.307400000000000340e+00 3.808532654005391523e+05
5.328700000000000436e+00 3.762698097215946764e+05
5.349999999999999645e+00 3.725992767658406519e+05
5.371400000000000396e+00 3.698506675310794380e+05
5.392699999999999605e+00 3.679530480113744270e+05
5.413999999999999702e+00 3.668433732670683530e+05
5.435299999999999798e+00 3.664633469596360810e+05
5.456599999999999895e+00 3.667731653069576714e+05
5.477899999999999991e+00 3.678146812215984683e+05
5.499200000000000088e+00 3.696610249675557134e+05
5.520599999999999952e+00 3.724327997154242476e+05
5.541900000000000048e+00 3.762402098055370152e+05
5.563200000000000145e+00 3.812115772848206107e+05
5.584500000000000242e+00 3.874401287152494187e+05
5.605800000000000338e+00 3.949791700205577654e+05
5.627100000000000435e+00 4.038272706372230314e+05
5.648399999999999643e+00 4.138995901995981112e+05
5.669800000000000395e+00 4.250726014259174117e+05
5.691099999999999604e+00 4.370731247706394061e+05
5.712399999999999700e+00 4.495830650150340516e+05
5.733699999999999797e+00 4.622082983749232371e+05
5.754999999999999893e+00 4.745331481035975739e+05
5.776299999999999990e+00 4.862277151406391640e+05
5.797600000000000087e+00 4.970402247658700799e+05
5.818999999999999950e+00 5.068840270935379085e+05
5.840300000000000047e+00 5.157914809176446288e+05
5.861600000000000144e+00 5.238952718242171104e+05
5.882900000000000240e+00 5.313727875390517293e+05
5.904200000000000337e+00 5.383496643301724689e+05
5.925500000000000433e+00 5.448844080810146406e+05
5.946900000000000297e+00 5.509411626475402154e+05
5.968200000000000394e+00 5.563862380693294108e+05
5.989499999999999602e+00 5.610687088050725870e+05
6.010799999999999699e+00 5.648663208555398742e+05
6.032099999999999795e+00 5.677006922368215164e+05
6.053399999999999892e+00 5.695973532041752478e+05
6.074699999999999989e+00 5.706419494844558649e+05
6.096099999999999852e+00 5.710068824333165539e+05
6.117399999999999949e+00 5.708306289089295315e+05
6.138700000000000045e+00 5.702776828138894634e+05
6.160000000000000142e+00 5.694661849436186021e+05
6.181300000000000239e+00 5.684441643035679590e+05
6.202600000000000335e+00 5.672591429567919113e+05
6.223900000000000432e+00 5.659218759609297849e+05
6.245300000000000296e+00 5.644550089094721479e+05
6.266600000000000392e+00 5.628459339425336802e+05
6.287899999999999601e+00 5.611122148131162394e+05
6.309199999999999697e+00 5.592540724943238311e+05
6.330499999999999794e+00 5.573109534353289055e+05
6.351799999999999891e+00 5.552903625008099480e+05
6.373199999999999754e+00 5.532407660234180512e+05
6.394499999999999851e+00 5.512209821203484898e+05
6.415799999999999947e+00 5.493100249014854198e+05
6.437100000000000044e+00 5.476130465181496693e+05
6.458400000000000141e+00 5.462237023434709990e+05
6.479700000000000237e+00 5.452691151464619907e+05
6.501000000000000334e+00 5.448037552799354307e+05
6.522400000000000198e+00 5.448941761659240583e+05
6.543700000000000294e+00 5.455022547573189950e+05
6.565000000000000391e+00 5.466171924788883189e+05
6.586299999999999599e+00 5.481500514181045583e+05
6.607599999999999696e+00 5.500061417264343472e+05
6.628899999999999793e+00 5.520740479981499957e+05
6.650199999999999889e+00 5.541904731170983287e+05
6.671599999999999753e+00 5.562113488735556602e+05
6.692899999999999849e+00 5.579335409804244991e+05
6.714199999999999946e+00 5.591323914857072523e+05
6.735500000000000043e+00 5.596185861950498074e+05
6.756800000000000139e+00 5.591440183714122977e+05
6.778100000000000236e+00 5.575529402417377569e+05
6.799400000000000333e+00 5.547675270702312700e+05
6.820800000000000196e+00 5.508300475199691718e+05
6.842100000000000293e+00 5.458456910392382415e+05
6.863400000000000389e+00 5.400821571730521973e+05
6.884699999999999598e+00 5.338930828118778300e+05
6.905999999999999694e+00 5.276684653087161714e+05
6.927299999999999791e+00 5.217722657693188521e+05
6.948699999999999655e+00 5.165906338882874115e+05
6.969999999999999751e+00 5.123550206271133502e+05
6.991299999999999848e+00 5.092005065652630292e+05
7.012599999999999945e+00 5.071854534055250115e+05
7.033900000000000041e+00 5.062218270988604054e+05
7.055200000000000138e+00 5.060937344218047219e+05
7.076500000000000234e+00 5.065570039405690040e+05
7.097900000000000098e+00 5.073437063280604198e+05
7.119200000000000195e+00 5.081202609661067254e+05
7.140500000000000291e+00 5.086870182150557521e+05
7.161800000000000388e+00 5.089080854175586137e+05
7.183099999999999596e+00 5.087350222341255285e+05
7.204399999999999693e+00 5.082998703176546842e+05
7.225699999999999790e+00 5.077932883772238274e+05
7.247099999999999653e+00 5.075236015783917974e+05
7.268399999999999750e+00 5.078270364468859043e+05
7.289699999999999847e+00 5.089914430586490198e+05
7.310999999999999943e+00 5.112811104682857986e+05
7.332300000000000040e+00 5.147888795830441522e+05
7.353600000000000136e+00 5.194974807179213385e+05
7.375000000000000000e+00 5.252174476274135523e+05
7.396300000000000097e+00 5.316896596946014324e+05
7.417600000000000193e+00 5.385341380181112327e+05
7.438900000000000290e+00 5.454084067697199062e+05
7.460200000000000387e+00 5.519886214575740742e+05
7.481499999999999595e+00 5.580029257109096507e+05
7.502799999999999692e+00 5.633051905113240937e+05
7.524200000000000443e+00 5.678040163500522031e+05
7.545499999999999652e+00 5.715181458839968545e+05
7.566799999999999748e+00 5.745008387622813461e+05
7.588099999999999845e+00 5.768923245029202662e+05
7.609399999999999942e+00 5.787475673649809323e+05
7.630700000000000038e+00 5.801031625692299567e+05
7.652000000000000135e+00 5.809818153197648935e+05
7.673399999999999999e+00 5.813327663560098736e+05
7.694700000000000095e+00 5.810394588513666531e+05
7.716000000000000192e+00 5.800115897067206679e+05
7.737300000000000288e+00 5.781989888903531246e+05
7.758600000000000385e+00 5.755991505693657091e+05
