thickness(m),SLME(%)
1e-08,0.029339608793910673
1.3257113655901082e-08,0.0377976275836924
1.757510624854793e-08,0.04831120998814039
2.329951810515372e-08,0.06116146217549554
3.0888435964774783e-08,0.07655870299388544
4.0949150623804276e-08,0.09459345050668246
5.4286754393238595e-08,0.11519321858090917
7.196856730011513e-08,0.13809553449695783
9.540954763499944e-08,0.16284218192951722
1.2648552168552957e-07,0.18879645014945637
1.67683293681101e-07,0.2151883112392425
2.2229964825261955e-07,0.24118704559534543
2.94705170255181e-07,0.26598244930579207
3.906939937054621e-07,0.2888629846458255
5.179474679231213e-07,0.3092966648595097
6.866488450042998e-07,0.32696238782237175
9.102981779915227e-07,0.34165230100953203
1.2067926406393288e-06,0.3531459478836069
1.5998587196060574e-06,0.36128695007036876
2.1209508879201924e-06,0.3662537184046182
2.811768697974231e-06,0.3687147185245919
3.727593720314938e-06,0.3696366238694249
4.941713361323839e-06,0.3698751765117357
6.5512855685955095e-06,0.3699131713607379
8.68511373751352e-06,0.3699163829380206
1.1513953993264481e-05,0.369916501772939
1.5264179671752335e-05,0.36991650326645303
2.0235896477251556e-05,0.36991650327099745
2.6826957952797274e-05,0.3699165032709995
3.5564803062231284e-05,0.3699165032709995
4.71486636345739e-05,0.3699165032709995
6.250551925273976e-05,0.3699165032709995
8.286427728546843e-05,0.3699165032709995
0.00010985411419875573,0.3699165032709995
0.00014563484775012445,0.3699165032709995
0.00019306977288832496,0.3699165032709995
0.00025595479226995333,0.3699165032709995
0.000339322177189533,0.3699165032709995
0.0004498432668969444,0.3699165032709995
0.0005963623316594637,0.3699165032709995
0.0007906043210907702,0.3699165032709995
0.0010481131341546852,0.3699165032709995
0.001389495494373136,0.3699165032709995
0.0018420699693267163,0.3699165032709995
0.0024420530945486497,0.3699165032709995
0.00323745754281764,0.3699165032709995
0.004291934260128779,0.3699165032709995
0.005689866029018293,0.3699165032709995
0.0075431200633546075,0.3699165032709995
0.01,0.3699165032709995
