thickness(m),SLME(%)
1e-08,0.0280162800162373
1.3257113655901082e-08,0.035826863685336864
1.757510624854793e-08,0.04538213056648181
2.329951810515372e-08,0.05684443471688965
3.0888435964774783e-08,0.07029308023687825
4.0949150623804276e-08,0.08570140499396622
5.4286754393238595e-08,0.10293426406744158
7.196856730011513e-08,0.12176650290950733
9.540954763499944e-08,0.14190780732210664
1.2648552168552957e-07,0.16301314620979684
1.67683293681101e-07,0.1846687163158357
2.2229964825261955e-07,0.2063584458353271
2.94705170255181e-07,0.2274275201154744
3.906939937054621e-07,0.24708315257384325
5.179474679231213e-07,0.2644944035037258
6.866488450042998e-07,0.2789931862010354
9.102981779915227e-07,0.2902493270513741
1.2067926406393288e-06,0.2982930503980447
1.5998587196060574e-06,0.3034416800666816
2.1209508879201924e-06,0.30625841701964246
2.811768697974231e-06,0.3074942855237774
3.727593720314938e-06,0.3078966822939815
4.941713361323839e-06,0.3079851471433493
6.5512855685955095e-06,0.3079968171977418
8.68511373751352e-06,0.30799761225464967
1.1513953993264481e-05,0.30799763530790286
1.5264179671752335e-05,0.30799763552873843
2.0235896477251556e-05,0.3079976355292379
2.6826957952797274e-05,0.3079976355292381
3.5564803062231284e-05,0.3079976355292381
4.71486636345739e-05,0.3079976355292381
6.250551925273976e-05,0.3079976355292381
8.286427728546843e-05,0.3079976355292381
0.00010985411419875573,0.3079976355292381
0.00014563484775012445,0.3079976355292381
0.00019306977288832496,0.3079976355292381
0.00025595479226995333,0.3079976355292381
0.000339322177189533,0.3079976355292381
0.0004498432668969444,0.3079976355292381
0.0005963623316594637,0.3079976355292381
0.0007906043210907702,0.3079976355292381
0.0010481131341546852,0.3079976355292381
0.001389495494373136,0.3079976355292381
0.0018420699693267163,0.3079976355292381
0.0024420530945486497,0.3079976355292381
0.00323745754281764,0.3079976355292381
0.004291934260128779,0.3079976355292381
0.005689866029018293,0.3079976355292381
0.0075431200633546075,0.3079976355292381
0.01,0.3079976355292381
