# energy(eV) alpha
1.157799999999999940e+00 1.271249654805843647e+03
1.178900000000000059e+00 1.334386610765703608e+03
1.199899999999999967e+00 1.399742046589297388e+03
1.221000000000000085e+00 1.468740318137542317e+03
1.241999999999999993e+00 1.541221020927647942e+03
1.263099999999999890e+00 1.618592815154914206e+03
1.284100000000000019e+00 1.699645223555819030e+03
1.305199999999999916e+00 1.784743909601989117e+03
1.326200000000000045e+00 1.874862869481868302e+03
1.347299999999999942e+00 1.972751064460361931e+03
1.368300000000000072e+00 2.074800003109813133e+03
1.389399999999999968e+00 2.185039586085649262e+03
1.410400000000000098e+00 2.304589051818645203e+03
1.431499999999999995e+00 2.434059835163915068e+03
1.452499999999999902e+00 2.576013699259710393e+03
1.473600000000000021e+00 2.733701962772526258e+03
1.494599999999999929e+00 2.908458869078847329e+03
1.515700000000000047e+00 3.103879431371894043e+03
1.536699999999999955e+00 3.326928024832820938e+03
1.557800000000000074e+00 3.578755559088280279e+03
1.578799999999999981e+00 3.870834536586114609e+03
1.599900000000000100e+00 4.200731350099133124e+03
1.620900000000000007e+00 4.574747765949602581e+03
1.641999999999999904e+00 4.991872431367882200e+03
1.663000000000000034e+00 5.444275710418610288e+03
1.684099999999999930e+00 5.919118836875625675e+03
1.705100000000000060e+00 6.400194153781907517e+03
1.726199999999999957e+00 6.862677834979850559e+03
1.747200000000000086e+00 7.288260059675802950e+03
1.768299999999999983e+00 7.662141549931012378e+03
1.789299999999999891e+00 7.977987919114760189e+03
1.810400000000000009e+00 8.243098840645450764e+03
1.831399999999999917e+00 8.478040333662776902e+03
1.852500000000000036e+00 8.713827302579573370e+03
1.873499999999999943e+00 8.984280394235400308e+03
1.894600000000000062e+00 9.331638287694691826e+03
1.915599999999999969e+00 9.789468376497021382e+03
1.936700000000000088e+00 1.038628523220045463e+04
1.957699999999999996e+00 1.114458218048291747e+04
1.978799999999999892e+00 1.207473267255900100e+04
1.999800000000000022e+00 1.317194769996325158e+04
2.020900000000000141e+00 1.442051356474233944e+04
2.041900000000000048e+00 1.579448430674249539e+04
2.063000000000000167e+00 1.725963484618035727e+04
2.084000000000000075e+00 1.877045259754328072e+04
2.105100000000000193e+00 2.029115608778864771e+04
2.126100000000000101e+00 2.177728069110025899e+04
2.147200000000000220e+00 2.320590377705259016e+04
2.168200000000000127e+00 2.453305267653602277e+04
