# energy(eV) alpha
1.266999999999999904e+00 1.215483954403463713e+03
1.285600000000000076e+00 1.271496786653824756e+03
1.304200000000000026e+00 1.333628504666168965e+03
1.322899999999999965e+00 1.400947181330717285e+03
1.341499999999999915e+00 1.469303681881010334e+03
1.360100000000000087e+00 1.544261736151839614e+03
1.378800000000000026e+00 1.627436726638243954e+03
1.397399999999999975e+00 1.717379346602476289e+03
1.415999999999999925e+00 1.814480543954522773e+03
1.434700000000000086e+00 1.924673379317429180e+03
1.453300000000000036e+00 2.042349569192039098e+03
1.471899999999999986e+00 2.180754766683804974e+03
1.490599999999999925e+00 2.333415942920368707e+03
1.509200000000000097e+00 2.507748449818256177e+03
1.527800000000000047e+00 2.707403426979222786e+03
1.546499999999999986e+00 2.933492119559359708e+03
1.565099999999999936e+00 3.190782223426126166e+03
1.583700000000000108e+00 3.478983248680084216e+03
1.602300000000000058e+00 3.795889081588744830e+03
1.620999999999999996e+00 4.137837262875624219e+03
1.639599999999999946e+00 4.494166673959193758e+03
1.658199999999999896e+00 4.852532939454512416e+03
1.676900000000000057e+00 5.200464464694815433e+03
1.695500000000000007e+00 5.521968586285637684e+03
1.714099999999999957e+00 5.803116384395617388e+03
1.732799999999999896e+00 6.033980935008268716e+03
1.751400000000000068e+00 6.212131342629586470e+03
1.770000000000000018e+00 6.344035524081959920e+03
1.788699999999999957e+00 6.440441444334050175e+03
1.807299999999999907e+00 6.520020942761634615e+03
1.825900000000000079e+00 6.603547536843524540e+03
1.844600000000000017e+00 6.716165883203521844e+03
1.863199999999999967e+00 6.877632424397693285e+03
1.881799999999999917e+00 7.107350318615320248e+03
1.900500000000000078e+00 7.429331853033080733e+03
1.919100000000000028e+00 7.848709744342042541e+03
1.937699999999999978e+00 8.377555740854857504e+03
1.956399999999999917e+00 9.017261395086932680e+03
1.975000000000000089e+00 9.762372748530066019e+03
1.993600000000000039e+00 1.060139987277182991e+04
2.012199999999999989e+00 1.151803492369908236e+04
2.030899999999999928e+00 1.249222261493653605e+04
2.049500000000000099e+00 1.348999264009197759e+04
2.068099999999999827e+00 1.449654327999830093e+04
2.086800000000000210e+00 1.548491956550739997e+04
2.105399999999999938e+00 1.645222000705142636e+04
2.124000000000000110e+00 1.738549131740927987e+04
2.142700000000000049e+00 1.829163809218675669e+04
2.161300000000000221e+00 1.917619987923870576e+04
2.179899999999999949e+00 2.003755134051664572e+04
2.198599999999999888e+00 2.086441641675827123e+04
2.217200000000000060e+00 2.164249814835354846e+04
2.235799999999999788e+00 2.233662654767739514e+04
2.254500000000000171e+00 2.291768448679356879e+04
2.273099999999999898e+00 2.336279110839178975e+04
2.291700000000000070e+00 2.365152193754094696e+04
2.310400000000000009e+00 2.380014232546770290e+04
2.329000000000000181e+00 2.383452035411336328e+04
2.347599999999999909e+00 2.380583399326304789e+04
2.366299999999999848e+00 2.378199332367108946e+04
2.384900000000000020e+00 2.382275062905498999e+04
2.403500000000000192e+00 2.399518561331033197e+04
2.422200000000000131e+00 2.435871350046130465e+04
2.440799999999999859e+00 2.495594346096988374e+04
2.459400000000000031e+00 2.581686263075162060e+04
2.478000000000000203e+00 2.696264231006033879e+04
2.496700000000000141e+00 2.840421628418608452e+04
2.515299999999999869e+00 3.015217334402099368e+04
2.533900000000000041e+00 3.219416725093347486e+04
2.552599999999999980e+00 3.453416807562906615e+04
2.571200000000000152e+00 3.714428507487526076e+04
2.589799999999999880e+00 4.001355498674270348e+04
2.608499999999999819e+00 4.310975474483866856e+04
2.627099999999999991e+00 4.640199619195476407e+04
2.645700000000000163e+00 4.984592884797065199e+04
2.664400000000000102e+00 5.340201013974348461e+04
2.682999999999999829e+00 5.700756199276639381e+04
2.701600000000000001e+00 6.060162972751922644e+04
2.720299999999999940e+00 6.410128320907248417e+04
2.738900000000000112e+00 6.740397803384062718e+04
2.757499999999999840e+00 7.041556897222268162e+04
2.776199999999999779e+00 7.303996018213384377e+04
2.794799999999999951e+00 7.518094814158337249e+04
2.813400000000000123e+00 7.678066516041282739e+04
2.832100000000000062e+00 7.781638447354454547e+04
2.850699999999999790e+00 7.830585155098045652e+04
2.869299999999999962e+00 7.830483096334447328e+04
2.887999999999999901e+00 7.791869682579778600e+04
2.906600000000000072e+00 7.728203122891898965e+04
2.925199999999999800e+00 7.654079869683452125e+04
2.943799999999999972e+00 7.585833293275888718e+04
2.962499999999999911e+00 7.540244724784709979e+04
2.981100000000000083e+00 7.530725325930393592e+04
2.999699999999999811e+00 7.569882917671622999e+04
3.018400000000000194e+00 7.668718345026421594e+04
3.036999999999999922e+00 7.833618442789099936e+04
3.055600000000000094e+00 8.069147043930408836e+04
3.074300000000000033e+00 8.377370671365527960e+04
3.092900000000000205e+00 8.754620100286748493e+04
3.111499999999999932e+00 9.196553414204396540e+04
3.130199999999999871e+00 9.694298285135508922e+04
3.148800000000000043e+00 1.023675420835749392e+05
3.167400000000000215e+00 1.081138209152680211e+05
3.186100000000000154e+00 1.140361220079164050e+05
3.204699999999999882e+00 1.199824626863355952e+05
3.223300000000000054e+00 1.258158610979397345e+05
3.241999999999999993e+00 1.313951980595506029e+05
3.260600000000000165e+00 1.365919227839096275e+05
3.279199999999999893e+00 1.413077976782638580e+05
3.297899999999999832e+00 1.454578523566710064e+05
3.316500000000000004e+00 1.489832218731006142e+05
3.335100000000000176e+00 1.518660034047036024e+05
3.353699999999999903e+00 1.541246791693389241e+05
3.372399999999999842e+00 1.558298971422346367e+05
3.391000000000000014e+00 1.570583463267397310e+05
3.409600000000000186e+00 1.579477858118335425e+05
3.428300000000000125e+00 1.586276131228179729e+05
3.446899999999999853e+00 1.592253390724394412e+05
3.465500000000000025e+00 1.598546723195615632e+05
3.484199999999999964e+00 1.606008971445193456e+05
3.502800000000000136e+00 1.614981515776212036e+05
3.521399999999999864e+00 1.625762082694135897e+05
3.540099999999999802e+00 1.638415985327313829e+05
3.558699999999999974e+00 1.652821522537153214e+05
3.577300000000000146e+00 1.669070479962823738e+05
3.596000000000000085e+00 1.687282415226479934e+05
3.614599999999999813e+00 1.707669906018077163e+05
3.633199999999999985e+00 1.730765705144936219e+05
3.651899999999999924e+00 1.756903340184577100e+05
3.670500000000000096e+00 1.786478218260133581e+05
3.689099999999999824e+00 1.819797671654974401e+05
3.707800000000000207e+00 1.856951032803725975e+05
3.726399999999999935e+00 1.897712978116920276e+05
3.745000000000000107e+00 1.941620234063498501e+05
3.763700000000000045e+00 1.988073239279325644e+05
3.782300000000000217e+00 2.036024848311944224e+05
3.800899999999999945e+00 2.084443630268025154e+05
3.819500000000000117e+00 2.132106232346026227e+05
3.838200000000000056e+00 2.177900403718278976e+05
3.856799999999999784e+00 2.220750325770917407e+05
3.875399999999999956e+00 2.259692785844676255e+05
3.894099999999999895e+00 2.294227906619638670e+05
3.912700000000000067e+00 2.323907391487872228e+05
3.931299999999999795e+00 2.348810253194998950e+05
3.950000000000000178e+00 2.369255901739010587e+05
3.968599999999999905e+00 2.385536835994821449e+05
3.987200000000000077e+00 2.398591970363764849e+05
4.005899999999999572e+00 2.409125780662954785e+05
4.024499999999999744e+00 2.418119356272706063e+05
4.043099999999999916e+00 2.426438091684718675e+05
4.061799999999999855e+00 2.435160394356022589e+05
4.080400000000000027e+00 2.445140111847680237e+05
4.099000000000000199e+00 2.457245329416048189e+05
4.117700000000000138e+00 2.472458770125454757e+05
4.136300000000000310e+00 2.491270924228212098e+05
4.154899999999999594e+00 2.514382703175005445e+05
4.173600000000000421e+00 2.542066996898739599e+05
4.192199999999999704e+00 2.574250735815306252e+05
4.210799999999999876e+00 2.610618770192563534e+05
4.229499999999999815e+00 2.650708298854778404e+05
4.248099999999999987e+00 2.693426579256925615e+05
4.266700000000000159e+00 2.737700467088758596e+05
4.285300000000000331e+00 2.782160644694793154e+05
4.304000000000000270e+00 2.825542603896948276e+05
4.322600000000000442e+00 2.866436363686102559e+05
4.341199999999999726e+00 2.903782383481655270e+05
4.359899999999999665e+00 2.936892262304066680e+05
4.378499999999999837e+00 2.965352551324861124e+05
4.397100000000000009e+00 2.989188182096199016e+05
4.415799999999999947e+00 3.009061342921576579e+05
4.434400000000000119e+00 3.025524419375110301e+05
4.453000000000000291e+00 3.039539511266378686e+05
4.471700000000000230e+00 3.052255402139741345e+05
4.490300000000000402e+00 3.064351038803402917e+05
4.508899999999999686e+00 3.076598124063367140e+05
4.527599999999999625e+00 3.089479489319988643e+05
4.546199999999999797e+00 3.102967424614089541e+05
