thickness(m),SLME(%)
1e-08,0.028482405698208438
1.3257113655901082e-08,0.036457612643895604
1.757510624854793e-08,0.04622956171486677
2.329951810515372e-08,0.05796824294530025
3.0888435964774783e-08,0.07175360234477939
4.0949150623804276e-08,0.08754687783516303
5.4286754393238595e-08,0.10518319199329892
7.196856730011513e-08,0.12438805808768058
9.540954763499944e-08,0.1448026533719459
1.2648552168552957e-07,0.16599488037814566
1.67683293681101e-07,0.18745038991947455
2.2229964825261955e-07,0.20856257399018124
2.94705170255181e-07,0.22864356139981218
3.906939937054621e-07,0.24696830330667058
5.179474679231213e-07,0.2628614147051749
6.866488450042998e-07,0.27582253119207983
9.102981779915227e-07,0.28564386522995855
1.2067926406393288e-06,0.2924518633395863
1.5998587196060574e-06,0.2966609581540364
2.1209508879201924e-06,0.2988885180779726
2.811768697974231e-06,0.29984029286777447
3.727593720314938e-06,0.3001450005216751
4.941713361323839e-06,0.3002116831767763
6.5512855685955095e-06,0.3002205831089889
8.68511373751352e-06,0.300221209986573
1.1513953993264481e-05,0.30022122931568845
1.5264179671752335e-05,0.3002212295196358
2.0235896477251556e-05,0.3002212295201654
2.6826957952797274e-05,0.30022122952016556
3.5564803062231284e-05,0.30022122952016556
4.71486636345739e-05,0.30022122952016556
6.250551925273976e-05,0.30022122952016556
8.286427728546843e-05,0.30022122952016556
0.00010985411419875573,0.30022122952016556
0.00014563484775012445,0.30022122952016556
0.00019306977288832496,0.30022122952016556
0.00025595479226995333,0.30022122952016556
0.000339322177189533,0.30022122952016556
0.0004498432668969444,0.30022122952016556
0.0005963623316594637,0.30022122952016556
0.0007906043210907702,0.30022122952016556
0.0010481131341546852,0.30022122952016556
0.001389495494373136,0.30022122952016556
0.0018420699693267163,0.30022122952016556
0.0024420530945486497,0.30022122952016556
0.00323745754281764,0.30022122952016556
0.004291934260128779,0.30022122952016556
0.005689866029018293,0.30022122952016556
0.0075431200633546075,0.30022122952016556
0.01,0.30022122952016556
