# energy(eV) alpha
0.000000000000000000e+00 0.000000000000000000e+00
2.129999999999999949e-02 2.372283241896357697e-01
4.259999999999999898e-02 9.934639653340900933e-01
6.389999999999999847e-02 2.201860375833371020e+00
8.509999999999999509e-02 3.883275064217491579e+00
1.063999999999999946e-01 6.039874377995828603e+00
1.277000000000000079e-01 8.804004212471662427e+00
1.489999999999999936e-01 1.193059993960700105e+01
1.703000000000000069e-01 1.553071471820396532e+01
1.915999999999999925e-01 1.980430338324184802e+01
2.127999999999999892e-01 2.436118354423471644e+01
2.341000000000000025e-01 2.964547579076026906e+01
2.554000000000000159e-01 3.517945850558273690e+01
2.767000000000000015e-01 4.147362951767171779e+01
2.979999999999999871e-01 4.828325008486451253e+01
3.192999999999999727e-01 5.527428941938072171e+01
3.405000000000000249e-01 6.307196013829453562e+01
3.618000000000000105e-01 7.175924142135200157e+01
3.830999999999999961e-01 8.060669311479476562e+01
4.043999999999999817e-01 8.997943951476254654e+01
4.257000000000000228e-01 1.002829853898808352e+02
4.470000000000000084e-01 1.106969462655302294e+02
4.682000000000000051e-01 1.215778947148073144e+02
4.894999999999999907e-01 1.334916842362408431e+02
5.108000000000000318e-01 1.459616712303768793e+02
5.321000000000000174e-01 1.589723794601337374e+02
5.534000000000000030e-01 1.725375291414190997e+02
5.746999999999999886e-01 1.866392919089776967e+02
5.959999999999999742e-01 2.025013370071816041e+02
6.171999999999999709e-01 2.183140770145683973e+02
6.384999999999999565e-01 2.347445486536977626e+02
6.598000000000000531e-01 2.517896461516566831e+02
6.811000000000000387e-01 2.693813024936596321e+02
7.024000000000000243e-01 2.889672916387929149e+02
7.237000000000000099e-01 3.077524064751903552e+02
7.449000000000000066e-01 3.278392409463800163e+02
7.661999999999999922e-01 3.501010710508964507e+02
7.874999999999999778e-01 3.714971437225540853e+02
8.087999999999999634e-01 3.951035911851844844e+02
8.300999999999999490e-01 4.185836139847567097e+02
8.514000000000000457e-01 4.435476941538474307e+02
8.726000000000000423e-01 4.700363241722122893e+02
8.939000000000000279e-01 4.963789693796877032e+02
9.152000000000000135e-01 5.261490844976309518e+02
9.364999999999999991e-01 5.548709127116055697e+02
9.577999999999999847e-01 5.861871030480245963e+02
9.790999999999999703e-01 6.182868811117705263e+02
1.000299999999999967e+00 6.521442799837442408e+02
1.021600000000000064e+00 6.878911739308690585e+02
1.042899999999999938e+00 7.234258543617510213e+02
1.064200000000000035e+00 7.629919770659804499e+02
1.085499999999999909e+00 8.023668140606459929e+02
1.106800000000000006e+00 8.448496122294137649e+02
1.127999999999999892e+00 8.893028939160212758e+02
1.149299999999999988e+00 9.371143941316366863e+02
1.170600000000000085e+00 9.859806043426098086e+02
1.191899999999999959e+00 1.038228572848872091e+03
1.213200000000000056e+00 1.092824511019384545e+03
1.234499999999999931e+00 1.152226684854557561e+03
1.255800000000000027e+00 1.215312531102644471e+03
1.276999999999999913e+00 1.280917716372689256e+03
1.298300000000000010e+00 1.353050060913014704e+03
1.319600000000000106e+00 1.430541671285627672e+03
1.340899999999999981e+00 1.513574619558390623e+03
1.362200000000000077e+00 1.606295053258091457e+03
1.383499999999999952e+00 1.707622573151794541e+03
1.404700000000000060e+00 1.820494585292769216e+03
1.425999999999999934e+00 1.946860346364994939e+03
1.447300000000000031e+00 2.091298114091371190e+03
1.468599999999999905e+00 2.255762892933056264e+03
1.489900000000000002e+00 2.446699738813750173e+03
1.511200000000000099e+00 2.667940478761368922e+03
1.532399999999999984e+00 2.924755580795728292e+03
1.553700000000000081e+00 3.220144006858781268e+03
1.574999999999999956e+00 3.556828151452594739e+03
1.596300000000000052e+00 3.927010356656900967e+03
1.617599999999999927e+00 4.325656738434056933e+03
1.638900000000000023e+00 4.733278117656048380e+03
1.660099999999999909e+00 5.129025208659636519e+03
1.681400000000000006e+00 5.493419844049938547e+03
1.702700000000000102e+00 5.801804232315781519e+03
1.723999999999999977e+00 6.048073410070360296e+03
1.745300000000000074e+00 6.222610240321697347e+03
1.766599999999999948e+00 6.340822349736310571e+03
1.787900000000000045e+00 6.425844234930184030e+03
1.809099999999999930e+00 6.505437976360371067e+03
1.830400000000000027e+00 6.612992220013190490e+03
1.851699999999999902e+00 6.782709788276512882e+03
1.872999999999999998e+00 7.044943319340328344e+03
1.894300000000000095e+00 7.420214715621133109e+03
1.915599999999999969e+00 7.926420180640161561e+03
1.936800000000000077e+00 8.574149821726197843e+03
1.958099999999999952e+00 9.362770433885472812e+03
1.979400000000000048e+00 1.028330453340815802e+04
2.000700000000000145e+00 1.131171049423498880e+04
2.021999999999999797e+00 1.241935818627560366e+04
2.043299999999999894e+00 1.357241529510393593e+04
2.064499999999999780e+00 1.473436530307125395e+04
2.085799999999999876e+00 1.588827619152246916e+04
2.107099999999999973e+00 1.701960511704611054e+04
2.128400000000000070e+00 1.812857701100544728e+04
2.149700000000000166e+00 1.921944573595364272e+04
2.170999999999999819e+00 2.028850816710137224e+04
2.192200000000000149e+00 2.132295666019105192e+04
2.213499999999999801e+00 2.228256948597810333e+04
2.234799999999999898e+00 2.312725501494839045e+04
2.256099999999999994e+00 2.380099747971172837e+04
2.277400000000000091e+00 2.427231693644122061e+04
2.298700000000000188e+00 2.453342081569173388e+04
2.319900000000000073e+00 2.461754876474607227e+04
2.341200000000000170e+00 2.458972889016640329e+04
2.362499999999999822e+00 2.454117674584909037e+04
2.383799999999999919e+00 2.457194834955275655e+04
2.405100000000000016e+00 2.478490415183295045e+04
2.426400000000000112e+00 2.527319677614266402e+04
2.447700000000000209e+00 2.610452383507335981e+04
2.468900000000000095e+00 2.733937928813147300e+04
2.490200000000000191e+00 2.901683698343696233e+04
2.511499999999999844e+00 3.115351384440892070e+04
2.532799999999999940e+00 3.374348301693205576e+04
2.554100000000000037e+00 3.676531691857110854e+04
2.575400000000000134e+00 4.016497700414946303e+04
2.596600000000000019e+00 4.388490028190031444e+04
2.617900000000000116e+00 4.783889413291494566e+04
2.639200000000000212e+00 5.195085658106617484e+04
2.660499999999999865e+00 5.612918526863327861e+04
2.681799999999999962e+00 6.028316922137801157e+04
2.703100000000000058e+00 6.429772887368156807e+04
2.724299999999999944e+00 6.805143592182283464e+04
2.745600000000000041e+00 7.140457227646683168e+04
2.766900000000000137e+00 7.421130139803937345e+04
2.788199999999999790e+00 7.634354130310619075e+04
2.809499999999999886e+00 7.773064266332479019e+04
2.830799999999999983e+00 7.837170748600790103e+04
2.851999999999999869e+00 7.836416354170946579e+04
2.873299999999999965e+00 7.787958327053545509e+04
2.894600000000000062e+00 7.715502011268779461e+04
2.915900000000000158e+00 7.644909215307800332e+04
2.937199999999999811e+00 7.599036882178440283e+04
2.958499999999999908e+00 7.598870618311896396e+04
2.979800000000000004e+00 7.658465825554591720e+04
3.000999999999999890e+00 7.788167024147101620e+04
3.022299999999999986e+00 7.992636219908298517e+04
3.043600000000000083e+00 8.273596811843824980e+04
3.064900000000000180e+00 8.627627867681458883e+04
3.086199999999999832e+00 9.049333193414642301e+04
3.107499999999999929e+00 9.528994950791739393e+04
3.128699999999999815e+00 1.005548579268067406e+05
3.149999999999999911e+00 1.061781174559548526e+05
3.171300000000000008e+00 1.120231256650346768e+05
3.192600000000000104e+00 1.179799317119360348e+05
3.213900000000000201e+00 1.239123908182788873e+05
3.235199999999999854e+00 1.297016160953313374e+05
3.256400000000000183e+00 1.352116547089845699e+05
3.277699999999999836e+00 1.403433456578655459e+05
3.298999999999999932e+00 1.449856066827676550e+05
3.320300000000000029e+00 1.490550435634444875e+05
3.341600000000000126e+00 1.525252136148783320e+05
3.362899999999999778e+00 1.554210885021311406e+05
3.384100000000000108e+00 1.577976479287524708e+05
3.405400000000000205e+00 1.597809275434067240e+05
3.426699999999999857e+00 1.614829014931730635e+05
3.447999999999999954e+00 1.630119741506362043e+05
3.469300000000000050e+00 1.644497948296570976e+05
3.490600000000000147e+00 1.658332467494325247e+05
3.511899999999999800e+00 1.671787012628705997e+05
3.533100000000000129e+00 1.684996446076926950e+05
3.554399999999999782e+00 1.698488603242327517e+05
3.575699999999999878e+00 1.712994990007390734e+05
3.596999999999999975e+00 1.729586799810807279e+05
3.618300000000000072e+00 1.749684044242725649e+05
3.639600000000000168e+00 1.774473876609136641e+05
3.660800000000000054e+00 1.805035356312805379e+05
3.682100000000000151e+00 1.842010157248737814e+05
3.703399999999999803e+00 1.885238350041921076e+05
3.724699999999999900e+00 1.933883798204329505e+05
3.745999999999999996e+00 1.986524777690656192e+05
3.767300000000000093e+00 2.041519291679717135e+05
3.788499999999999979e+00 2.096681404962680826e+05
3.809800000000000075e+00 2.150363682893609221e+05
3.831100000000000172e+00 2.200927913200020557e+05
3.852399999999999824e+00 2.247379725259141123e+05
3.873699999999999921e+00 2.289178467801096558e+05
3.895000000000000018e+00 2.326338357622929907e+05
3.916199999999999903e+00 2.359053895257633121e+05
3.937500000000000000e+00 2.388133496410122898e+05
3.958800000000000097e+00 2.414236621847378556e+05
3.980100000000000193e+00 2.438391460714406276e+05
4.001400000000000290e+00 2.461549775364364032e+05
4.022700000000000387e+00 2.484533457799608295e+05
4.043899999999999828e+00 2.508078898363978078e+05
4.065199999999999925e+00 2.532603438667608716e+05
4.086500000000000021e+00 2.558349366229173902e+05
4.107800000000000118e+00 2.585203899564505555e+05
4.129100000000000215e+00 2.612956485849636665e+05
4.150400000000000311e+00 2.641186239426546381e+05
4.171700000000000408e+00 2.669796491793661262e+05
4.192899999999999849e+00 2.698309860791989486e+05
4.214199999999999946e+00 2.726759555037820828e+05
4.235500000000000043e+00 2.754925095749397879e+05
4.256800000000000139e+00 2.782795789908439619e+05
4.278100000000000236e+00 2.810281080596749671e+05
4.299400000000000333e+00 2.837343369430015446e+05
4.320599999999999774e+00 2.863931632693641004e+05
4.341899999999999871e+00 2.890162139656397048e+05
4.363199999999999967e+00 2.916054985619189683e+05
4.384500000000000064e+00 2.941697030881171231e+05
4.405800000000000161e+00 2.967257025154248695e+05
4.427100000000000257e+00 2.992800403531140182e+05
4.448299999999999699e+00 3.018463377826186479e+05
4.469599999999999795e+00 3.044383262746369583e+05
4.490899999999999892e+00 3.070267224715740304e+05
